"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"72236,00000000000","""Рунь""",Минская обл.,Смолевичский р-н,д. Старина,"53,96166935540","28,06735054950"
"72240,00000000000","""Садовод-ТП""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98282174960","27,88785001930"
"72247,00000000000","""Свитанок-2002""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00437575510","27,94553989460"
"72241,00000000000","""Синегорье""",Минская обл.,Смолевичский р-н,д. Великий Камень,"53,83362874150","28,00876912780"
"72239,00000000000","""Смолевичский Кристалл""",Минская обл.,Смолевичский р-н,д. Загорье,"54,00254643120","27,99935730230"
"72242,00000000000","""Сокол"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Лозовый Куст,"53,86073828200","27,93055570720"
"72249,00000000000","""Солнечное-08""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00443698690","27,99080677570"
"72248,00000000000","""Солнечный сад""",Минская обл.,Смолевичский р-н,д. Скураты,"53,99683975160","27,95717178470"
"72250,00000000000","""Сорочье поле""",Минская обл.,Смолевичский р-н,д. Шпаковщина,"54,09439392500","28,04491619910"
"72245,00000000000","""Сузорье""",Минская обл.,Смолевичский р-н,д. Заямное,"53,85241426560","27,88890358890"
"72246,00000000000","""Сутоки""",Минская обл.,Смолевичский р-н,д. Сутоки,"54,19521472010","28,09268071310"
"72251,00000000000","""Таксист""",Минская обл.,Смолевичский р-н,д. Плющай,"53,81638548240","27,90058959020"
"72252,00000000000","""Узгорье-2002""",Минская обл.,Смолевичский р-н,д. Скураты,"53,99760626940","27,96074939790"
"72253,00000000000","""Урожай-2002""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98299363990","27,89510174430"
"72254,00000000000","""Усяжа""",Минская обл.,Смолевичский р-н,д. Рудомейка,"54,07480470150","27,89069943400"
