id,region_id,lat,lng,title
100667970,2496,47.350000,22.830000,Şărmăşag
100667972,2501,46.880000,25.470000,Sărmaş
100667991,2486,44.950000,28.850000,Sarichioi
100668073,2477,45.250000,26.750000,Săpoca
100668076,2476,47.970000,23.700000,Săpînţa
100668091,2488,47.450000,24.900000,Şanţ
100668096,2479,47.630000,22.330000,Sanislău
100668104,2471,46.450000,26.730000,Sănduleni
100668124,2488,47.300000,24.350000,Salva
100668128,2476,47.530000,23.300000,Sălsig
100668129,2470,46.800000,21.650000,Salonta
100668142,2476,47.650000,24.350000,Săliştea de Sus
100668153,2474,45.780000,23.880000,Sălişte
100668186,2487,44.720000,25.580000,Sălcioara
100668198,2469,45.370000,27.520000,Salcia Tudor
100668214,2484,44.140000,22.930000,Salcia
100668215,2500,43.950000,24.920000,Salcia
100668219,2481,47.650000,26.370000,Salcea
100668236,2496,47.370000,23.130000,Sălăţig
100668238,2493,45.520000,22.950000,Sălaşu de Sus
100668243,2470,47.220000,22.050000,Sălard
100668252,2470,47.470000,22.320000,Sălacea
100668257,2477,45.030000,26.520000,Săhăteni
100668261,2472,46.050000,21.280000,Şagu
100668263,2483,46.980000,27.020000,Sagna
100668266,2477,45.100000,26.980000,Săgeata
100668269,2462,45.650000,21.180000,Şag
100668287,2463,43.900000,23.950000,Sadova
100668297,2470,47.350000,22.100000,Săcueni
100668304,2462,45.650000,21.430000,Sacoşu Turcesc
100668314,2466,45.620000,25.690000,Săcele
100668320,2476,47.630000,24.430000,Săcel
100668342,2462,45.760000,21.110000,Săcălaz
100668365,2483,47.020000,26.850000,Săbăoani
100668394,2477,44.950000,27.220000,Ruşeţu
100668431,2490,43.930000,24.600000,Rusăneşti
100668442,2466,46.030000,25.220000,Rupea
100668465,2487,45.180000,25.380000,Runcu
100668467,2485,45.120000,23.130000,Runcu
100668488,2467,47.250000,26.850000,Ruginoasa
100668495,2482,46.070000,27.120000,Rugineşti
100668542,2473,45.400000,25.170000,Rucăr
100668546,2483,46.830000,26.520000,Roznov
100668548,2476,47.730000,24.220000,Rozavlea
100668552,2472,46.170000,21.070000,Pecica
100668555,2485,44.920000,23.180000,Rovinari
100668569,2490,43.980000,24.320000,Rotunda
100668605,2500,44.120000,24.980000,Roşiori de Vede
100668620,2469,44.800000,27.380000,Roşiori
100668628,2480,44.870000,23.930000,Roşiile
100668631,2491,46.430000,27.880000,Roşieşti
100668645,2485,45.050000,23.750000,Roşia de Amaradia
100668656,2474,45.820000,24.320000,Roşia
100668660,2492,44.220000,27.430000,Roseţi
100668681,2476,47.900000,24.050000,Rona de Sus
100668693,2493,45.830000,23.280000,Romos
100668698,2483,46.780000,26.680000,Romîni
100668732,2483,46.920000,26.920000,Roman
100668737,2478,47.830000,26.600000,Roma
100668751,2484,44.470000,22.810000,Rogova
100668772,2488,47.420000,24.820000,Rodna
100668781,2473,44.670000,25.030000,Rociu
100668799,2494,44.410000,25.540000,Roata de Jos
100668815,2493,45.480000,22.850000,Râu de Mori
100668828,2466,45.580000,25.450000,Râşnov
100668872,2480,45.100000,24.370000,Râmnicu Vâlcea
100668873,2477,45.380000,27.050000,Râmnicu Sărat
100668911,2468,44.870000,26.130000,Râfov
100668913,2470,46.570000,22.450000,Rieni
100668915,2475,46.680000,24.400000,Rîciu
100668933,2499,44.720000,27.100000,Reviga
100668954,2489,45.300000,21.890000,Reşiţa
100668963,2476,47.830000,24.400000,Repedea
100668973,2476,47.980000,23.630000,Remeţi
